Response Time,Reliability,Scalability,Security,Maintainability,Performance
50,9,8,7,8,Good
100,8,7,6,7,Moderate
150,7,6,5,6,Poor
80,9,8,7,8,Good
120,8,7,6,7,Moderate
180,7,6,5,6,Poor
70,9,8,7,8,Good
110,8,7,6,7,Moderate
160,7,6,5,6,Poor
90,9,8,7,8,Good
130,8,7,6,7,Moderate
170,7,6,5,6,Poor
60,9,8,7,8,Good
140,8,7,6,7,Moderate
200,7,6,5,6,Poor
75,9,8,7,8,Good
105,8,7,6,7,Moderate
155,7,6,5,6,Poor
85,9,8,7,8,Good
115,8,7,6,7,Moderate
165,7,6,5,6,Poor
95,9,8,7,8,Good
125,8,7,6,7,Moderate
175,7,6,5,6,Poor
65,9,8,7,8,Good
145,8,7,6,7,Moderate
205,7,6,5,6,Poor
78,9,8,7,8,Good
108,8,7,6,7,Moderate
158,7,6,5,6,Poor
88,9,8,7,8,Good
118,8,7,6,7,Moderate
168,7,6,5,6,Poor
98,9,8,7,8,Good
128,8,7,6,7,Moderate
178,7,6,5,6,Poor
